priority,keyword,type,baseline_rank,plus_72h_rank,week_2_rank,week_4_rank,notes
primary,peptide tracker,head,,,,,core head term (secured in title)
primary,reconstitution calculator,phrase,,,,,niche money phrase
primary,retatrutide,head,,,,,PRIME - fastest-rising 2026 term
primary,tirzepatide calculator,phrase,,,,,PRIME - owned by web not apps
primary,trt tracker,phrase,,,,,bellwether winnable head
primary,bpc 157,head,,,,,PRIME - test split vs concatenated token
primary,tb 500,head,,,,,PRIME - Wolverine stack with bpc 157
primary,glp-1 calculator,phrase,,,,,bridges GLP-1 demand + low calc competition
primary,semaglutide calculator,phrase,,,,,compounded sema dosing
primary,peptide reconstitution calculator,phrase,,,,,full money phrase - cross-field assembled
secondary,ipamorelin,head,,,,,PRIME - few apps own exact term
secondary,tirzepatide tracker,phrase,,,,,
secondary,semaglutide tracker,phrase,,,,,
secondary,testosterone tracker,phrase,,,,,less saturated than trt tracker
secondary,injection tracker,phrase,,,,,cross-cutting TRT/GLP-1/peptide
secondary,injection reminder,phrase,,,,,
secondary,syringe calculator,phrase,,,,,
secondary,bac water calculator,phrase,,,,,low difficulty
secondary,peptide log,phrase,,,,,cheap spillover
secondary,vial tracker,phrase,,,,,low competition inventory term
secondary,glp-1 tracker,phrase,,,,,SATURATED - top 30 is a fine result
secondary,peptide calculator,phrase,,,,,SATURATED - free coverage only
secondary,trt injection tracker,phrase,,,,,
secondary,retatrutide calculator,phrase,,,,,
watch,retatrutide dosage chart,phrase,,,,,
watch,injection site rotation,phrase,,,,,reinforce in screenshots
watch,titration tracker,phrase,,,,,rising 2026 GLP-1 trend
watch,glp1 titration schedule tracker,phrase,,,,,
watch,peptide stack tracker,phrase,,,,,on-brand with Stackr
watch,cjc 1295,head,,,,,rotate into keyword field later
watch,steroid tracker,phrase,,,,,POLICY-SENSITIVE - keep out of metadata for now
watch,dose log,phrase,,,,,
watch,how many units of tirzepatide,phrase,,,,,natural-language query
watch,weekly injection reminder,phrase,,,,,
watch,semaglutide reconstitution calculator,phrase,,,,,
